st_ia_airport_code,st_ia_airport_name,st_ia_airport_state_code
ABE,ABERDEEN,WA
ADS,ADDISON AIRPORT- ADDISON,TX
AGA,AGANA,GU
AGU,AGUADILLA,PR
BOI,AIR TERM. (GOWEN FLD) BOISE,ID
AKR,AKRON,OH
CAK,AKRON,OH
ALA,ALAMAGORDO,NM
ALB,ALBANY,NY
CHO,ALBEMARLE CHARLOTTESVILLE,VA
ABQ,ALBUQUERQUE,NM
ABG,ALBURG,VT
ABS,ALBURG SPRINGS,VT
ALC,ALCAN,AK
AXB,ALEXANDRIA BAY,NY
AGM,ALGOMA,WI
AGN,ALGONAC,MI
ALP,ALPENA,MI
AMB,AMBROSE,ND
ADT,AMISTAD DAM,TX
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS
ANA,ANACORTES,WA
ANC,ANCHORAGE,AK
AND,ANDRADE,CA
ADW,ANDREWS AFB,MD
ANP,ANTELOPE WELLS,NM
ANT,ANTLER,ND
ANZ,ANZALDUAS,TX
APA,ARAPAHOE COUNTY,CO
ARB,ARUBA NETH,ANTILLES
ATB,ASHTABULA,OH
ASE,ASPEN,CO
AST,ASTORIA,OR
ATL,ATLANTA,GA
AUS,AUSTIN,TX
MAA,Abu Dhabi,Invalid State Code
BAR,BAKER AAF - BAKER ISLAND,AK
BAL,BALTIMORE,MD
BGM,BANGOR,ME
BAN,BANKOK,THAILAND
BHM,BAR HARBOR,ME
BTN,BATON ROUGE,LA
BAU,BAUDETTE,MN
BCY,BAY CITY,MI
BAY,BAYFIELD,WI
BYO,BAYONNE,NJ
BEA,BEAUMONT,TX
BEB,BEEBE PLAIN,VT
BEE,BEECHER FALLS,VT
BEI,BEICA #ARPT,ETHIOPIA
PEK,BEIJING CAPITAL INTL,PRC
BEL,BELLINGHAM,WA
BLI,BELLINGHAM,WASHINGTON
BBP,BIG BEND PARK,TX
BIL,BILLINGS,MT
GPT,BILOXI REGIONAL,MS
BHX,BIRMINGHAM,AL
SPF,BLACK HILLS SPEARFISH,SD
BLA,BLAINE,WA
LEX,BLUE GRASS - LEXINGTON,KY
BOC,BOCAGRANDE,FL
BOG,BOGOTA EL DORADO #ARPT,COLOMBIA
BOO,BOOTHBAY HARBOR,ME
BQN,BORINQUEN - AGUADILLO,PR
BOS,BOSTON,MA
BWA,BOUNDARY,WA
SCC,BP SPEC COORD. CTR,TX
BTC,BP TACTICAL UNIT,TX
SRQ,BRADENTON - SARASOTA,FL
BDL,BRADLEY INTERNATIONAL,CT
BOA,BRIDGE OF AMERICAS,TX
BGC,BRIDGEPORT,CT
BWM,BRIDGEWATER,ME
BRO,BROWNSVILLE,TX
BRU,BRUNSWICK,GA
BCK,BUCKPORT,ME
EZE,BUENOS AIRES MINISTRO PIST,ARGENTINA
BUF,BUFFALO,NY
BUR,BURBANK,CA
BRG,BURLINGTON,VT
AGS,BUSH FIELD - AUGUSTA,GA
BTM,BUTTE,MT
LGU,CACHE AIRPORT - LOGAN,UT
CLS,CALAIS,ME
CAL,CALEXICO,CA
CLG,CALGARY,CANADA
CNJ,CAMDEN,NJ
CAO,CAMPO,CA
CNA,CANAAN,VT
CUN,CANCUN,MEXICO
CNC,CANNON CORNERS,NY
CNH,CANNON CORNERS,NY
RNO,CANNON INTL - RENO/TAHOE,NV
CAN,CAPE CANAVERAL,FL
CAP,CAPE VINCENT,NY
SPI,CAPITAL - SPRINGFIELD,IL
CRQ,CARAVELAS BA #ARPT,BRAZIL
CRY,CARBURY,ND
CRB,CARIBOU,ME
CAR,CARIBOU MUNICIPAL AIRPORT,MN
CRL,CARLSBAD,NM
MVD,CARRASCO,URUGUAY
CSP,CASPER,WY
CID,CEDAR RAPIDS/IOWA CITY,IA
CHM,CHAMPLAIN,NY
CHL,CHARLESTON,SC
CHS,CHARLESTON,WV
CLT,CHARLOTTE,NC
CHA,CHARLOTTE AMALIE,VI
CHT,CHATEAUGAY,NY
CHI,CHICAGO,IL
CHF,CHIEF MT,MT
CHR,CHRISTIANSTED,VI
CIN,CINCINNATI,OH
CLK,CLARKSBURG,WV
CLA,CLAYTON,NY
CLE,CLEVELAND,OH
COB,COBURN GORE,ME
COS,COLORADO SPRINGS,CO
CAE,COLUMBIA,SC
CLM,COLUMBUS,OH
COL,COLUMBUS,NM
COO,COOS BAY,OR
CRP,CORPUS CHRISTI,TX
CRA,CRANE LAKE,MN
CDD,CRANE LAKE - ST. LOUIS CNTY,NM
CRU,CRUZ BAY ST JOHN,VI
MIC,CRYSTAL MUNICIPAL AIRPORT,MN
JCP,CULEBRA - BENJAMIN RIVERA,PR
CUR,CURLEW,WA
CUT,CUT BANK,MT
CTB,CUT BANK MUNICIPAL,MT
GTF,Collapsed into INT,MN
INL,Collapsed into INT,MN
DAL,DALLAS,TX
DAC,DALTONS CACHE,AK
DVL,DANVILLE,WA
DAA,DAVISON AAF - FAIRFAX CNTY,VA
DAB,DAYTONA BEACH INTERNATIONAL,FL
DLB,DEL BONITA,MT
DLR,DEL RIO,TX
DNM,DEMING,NM
DEN,DENVER,CO
DER,DERBY LINE VT (RT. 5),VT
DLV,DERBY LINE VT (RT. 5),VT
DSM,DES MOINES,IA
DET,DETROIT,MI
PIZ,DEW STATION PT LAY DEW,AK
DNA,DONNA,TX
DOU,DOUGLAS,AZ
DOV,DOVER AFB,Invalid State Code
